ts	phase	decision	why	evidence	result
2026-08-23T16:15:00+03:00	frame	set six product predicates for preview paging, filter parity, detail categories, J2K reader chrome, selection actions, and semantic icons	the screenshots show multiple independent regressions and each needs a direct pass or fail signal	user screenshots; docs/architecture/j2k-reset.md	OPEN
2026-08-23T16:16:00+03:00	ground	located the blank-preview parser precedence and unused preview-next state	SY parses sprite containers before image fallback; Hayai accepted nested blank.gif as a direct image and exposed only a go-to dialog	sy/master EHentai.kt; EhHtmlParser.kt; SourcePreviewController.kt	CONFIRMED
2026-08-23T16:17:00+03:00	red-test	added a live-shape outer gdtm fixture containing an inner sprite and blank.gif placeholder	the focused test failed by returning blank.gif, reproducing the visible empty-preview bug	EhHtmlParserTest; gradlew focused test	RED
2026-08-23T16:18:00+03:00	architecture	selected the small adapter design over new source-details and novel-reader reducers	existing typed contracts already model the domain; fixing their interaction seams avoids a second reader/details state system	docs/architecture/sy-j2k-reader-parity.md; architect arena candidates A and B	SELECTED
2026-08-23T16:19:00+03:00	eh-preview	ported sprite-first parsing, rejected blank placeholders, invalidated old listings, and exposed previous next and direct-page controls	matches SY markup precedence while retaining Hayai bounded decoding and J2K ReaderLauncher handoff	EhHtmlParser.kt; SourcePreviewCache.kt; SourcePreviewController.kt	IMPLEMENTED_UNVERIFIED
2026-08-23T16:20:00+03:00	eh-filter-details	grouped Genres-to-exclude and Advanced options and split metadata and previews into independent phone and tablet anchors	preserves one EhSearchSpec and normal J2K details lifecycle while matching SY information hierarchy	EhFilters.kt; MangaDetailsController.kt; manga_header_item.xml	IMPLEMENTED_UNVERIFIED
2026-08-23T16:21:00+03:00	novel-reader	made J2K chrome overlay the viewport and repaired native and Web selection interaction and anchor retention	removes text reflow and ensures floating-toolbar actions survive Web selection collapse	NovelReaderActivity.kt; NativeNovelRenderer.kt; WebNovelRenderer.kt; NovelHtmlDocumentBuilder.kt	IMPLEMENTED_UNVERIFIED
2026-08-23T16:33:30+03:00	adapter-graft	moved source-details jobs, generation guards, rendering, and bitmap cleanup out of the J2K controller into one Hayai host and isolated exact J2K reader-shell IDs and insets in one concrete chrome adapter	keeps the J2K seams declarative without duplicating existing preview, metadata, or reader domain models	SourceDetailsHost.kt; MangaDetailsController.kt; J2kNovelReaderChrome.kt; NovelReaderActivity.kt	IMPLEMENTED_UNVERIFIED
2026-08-23T16:50:00+03:00	device-layout-finding	fixture validation passed migration, reader, TTS, offline, settings, and unified Manga/Novels/Migration navigation before exposing native text beneath the overlaid toolbar	converted the visual failure into a constant J2K action-bar safe inset and removed a stale assertion for the deliberately replaced standalone Extensions destination	verify-hayai-emulator.ps1; J2kNovelReaderChrome.kt; artifacts/emulator-verification/20260823-134151	FIXED_PENDING_RECHECK
2026-08-23T17:05:00+03:00	native-selection-device-finding	confirmed native long-press selection and the Quote action on emulator, then removed irrelevant read-only Cut/Paste actions and shortened the quote title	frees the Android floating-toolbar slots for Copy, Quote, Define, and Translate while preserving Cut/Paste in explicit edit mode	NovelSelectionActionMode.kt; artifacts/emulator-verification/20260823-135641/20-selection-actions.png	FIXED_PENDING_RECHECK
2026-08-23T17:12:00+03:00	emulator-closure	passed the full fixture workflow and directly verified the native selection toolbar displays Copy, Quote, Define, and Google Translate together	also verified migrated repository bootstrap, exact toolbar/content bounds, TTS, offline restart, all reader settings tabs, unified Manga/Novels/Migration navigation, final database counts, and no fatal exception	verify-hayai-emulator.ps1; artifacts/emulator-verification/20260823-135641; artifacts/emulator-verification/20260823-135641/23-selection-actions-fixed.png	VERIFIED
2026-08-23T16:22:00+03:00	novel-actions	made Quote Define and Translate visible semantic actions while retaining signed-in Custom Tabs Google Translate app routing and quote storage	reuses the legacy-proven lookup UX and current typed authorities without renderer-specific effect code	NovelSelectionActionMode.kt; NovelLookupLauncher.kt; NovelQuoteStore	IMPLEMENTED_UNVERIFIED
