ts	phase	decision	why	evidence	result
2026-08-30T00:00:00+03:00	frame	repair shipped novel and storage paths before adding new behavior	migration and storage failures block existing users and can strand data	https://github.com/HayaiApp/hayai/issues/41	open
2026-08-30T00:00:01+03:00	frame	keep one J2K library, migration flow, reader, and storage preference path	the fork contract forbids parallel models that drift	AGENTS.md	open
2026-08-30T00:00:02+03:00	upstream	replay the recorded Hayai patch stack on J2K 8df100d6e6	this preserves a linear and reviewable fork instead of merging two unrelated histories	patches/series; codex/j2k-2026-08-30	verified
2026-08-30T00:00:03+03:00	architecture	derive novel identity from live capabilities and existing durable Hayai evidence	remembered plugin sources, genres, quotes, highlights and chapter statistics already survive a missing source, so a second identity table would add migration risk without adding evidence	NovelMigrationPolicy.kt; NovelPluginStore.kt	accepted
2026-08-30T00:00:04+03:00	architecture	centralize source visuals and storage location validation	migration artwork and SAF failures are shared boundary problems and should not be repaired screen by screen	MangaCoverFetcher.kt; DownloadProvider.kt; PreferencesHelper.kt	accepted
2026-08-30T00:00:05+03:00	implementation	use one durable novel identity and one localized migration surface	old novels keep novel targets even when their source resolves as manga, and the shared UI no longer says manga for novel rows	NovelContentIdentity.kt; MigrationListController.kt; MigrationFlags.kt	implemented
2026-08-30T00:00:06+03:00	implementation	preserve authenticated source artwork and cover requests	JavaScript novel icons and covers now use repository artwork, source cookies and referers on Browse and migration surfaces	SourceArtwork.kt; SourceCoverRequestProvider.kt; MangaCoverFetcher.kt	implemented
2026-08-30T00:00:07+03:00	implementation	validate downloads and backups through app-owned or persisted SAF directories	avoids false invalid-location failures and reports lost grants without silently replacing an existing path	StorageLocationAccess.kt; DownloadProvider.kt; BackupCreator.kt	implemented
2026-08-30T00:00:08+03:00	implementation	repair paged geometry and downloaded Web assets	one viewport stride removes partial skips and preserved file extensions restore WebView MIME inference	NovelHtmlDocumentBuilder.kt; NovelDownloadStore.kt; NovelAssetWebViewClient.kt	implemented
2026-08-30T00:00:09+03:00	release	generate each nightly changelog from the previous published source commit	patch-equivalence comparison keeps rebases readable while still listing new J2K and Hayai commits	new-nightly-changelog.ps1; nightly.yml	implemented
2026-08-30T09:58:00+03:00	emulator	bind migration section labels whenever a recycled header is attached	the Android 16 fixture proved the novel rows were correctly partitioned but a holder created for Manga retained that text when reused for Novels	SelectionHeader.kt; artifacts/emulator-verification/20260830-095244	fixed
2026-08-30T10:12:00+03:00	validation	verify the complete repair batch on Android 16 and through project gates	migration shows separate Manga and Novels headers with icons, novel options say Custom novel info, and download and backup summaries resolve to writable app-owned locations	artifacts/emulator-verification/20260830-095244; localization; boundary; compile; unit tests; APK assembly	verified
