ts	phase	decision	why	evidence	result
2026-08-21T20:00:00Z	frame	excluded MangaDex-specific parity but retained its existing delegated wrapper	the user explicitly removed MangaDex from this port	docs/architecture/upstream-feature-audit.md	open
2026-08-21T20:01:00Z	workflow	write every requested production and test artifact before starting validation	the user requested code-first execution and the machine must not be hit by repeated builds	AGENTS.md; current task plan	open
2026-08-21T20:02:00Z	architecture	keep enhanced sources, novel features, and the E-Hentai updater in disjoint Hayai-owned modules	the workstreams have separate data ownership and can be reviewed without changing protected J2K lifecycle files	app/src/main/java/dev/ahmedmohamed/hayai	open
2026-08-21T21:10:00Z	enhanced-sources	implemented only upstream-supported non-MangaDex actions and page previews	SY exposes URL import and metadata for 8Muses, HBrowse, NHentai, and Pururin; previews exist for NHentai and LANraragi; recommendations, follows, and related titles are MangaDex-only	app/src/main/java/dev/ahmedmohamed/hayai/source/enhanced	implemented-unverified
2026-08-21T21:12:00Z	preview-safety	replaced source-specific full bitmap rendering with a paginated provider registry and bounded sampled decoding	full-resolution page and sprite bitmaps can crash manga details on memory-constrained devices	app/src/main/java/dev/ahmedmohamed/hayai/source/preview; EhDetailsPreviewLoader.kt	implemented-unverified
2026-08-21T21:15:00Z	eh-updater	implemented unique bounded gallery work with durable state, statistics, revision-root merging, and download recovery	SY parity requires periodic checks without copying its partial-mutation and unconditional-success failure behavior	app/src/main/java/dev/ahmedmohamed/hayai/adult/eh/update	implemented-unverified
2026-08-21T21:17:00Z	emulator-harness	added a guarded dedicated-AVD workflow and sanitized migration fixture	automation must refuse personal emulators and keep credentials outside the repository	tools/verify-hayai-emulator.ps1; tools/fixtures/hayai-emulator	implemented-unverified
2026-08-21T22:00:00Z	novel-parity	implemented highlights, translation, dictionary, visual sources, remote APK extensions, EPUB export, and external imports	the requested novel tools now use stable identities and J2K-owned library, chapter, history, category, extension, and reader-routing data	app/src/main/java/dev/ahmedmohamed/hayai/novel	implemented-unverified
2026-08-21T22:05:00Z	novel-persistence	added schema v4 and backup v4 for highlights, visual source definitions, and tagged novel APK repositories	durable user-created data must survive database ID remapping without backing up secrets, downloads, trust fingerprints, or import completion markers	HayaiSchema.kt; HayaiBackupData.kt; HayaiBackupService.kt	implemented-unverified
2026-08-21T22:12:00Z	novel-trackers	implemented NovelUpdates, NovelList, and RanobeDB as J2K tracking services	durable remote keys and bounded typed protocol adapters preserve J2K tracking rows and automatic progress updates without a parallel tracker store	app/src/main/java/dev/ahmedmohamed/hayai/novel/tracker/services; TrackManager.kt; MangaDetailsPresenter.kt	implemented-unverified
2026-08-21T22:02:00Z	validation	compiled the integrated parity batch and ran its focused unit suite with one Gradle worker	verified novel persistence, language tools, imports, EPUB export, trackers, enhanced sources, details previews, E-Hentai updater, migration, and backup without parallel CPU load	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest -x :app:formatKotlin with focused Hayai test filters	verified-241-tests
2026-08-21T22:16:00Z	independent-review	resolved all three medium findings from the read-only GPT-5.4 review	reader-driven tracker sync, retryable gallery 404 state, and remotely verified tracker credentials were required for honest parity	.audit/final-parity-review.md; commits 7027b48e05 and 6cc6c5d7fa	implemented-pending-regression-validation
2026-08-21T22:17:00Z	emulator-gate	refused to run the authenticated workflow on the only installed general-purpose AVD	the harness requires a dedicated AVD containing Hayai and Test plus an external test-account file; Pixel_10_Pro_XL does not satisfy that safety boundary	tools/verify-hayai-emulator.ps1	blocked-by-dedicated-test-environment
2026-08-21T22:22:00Z	post-review-validation	compiled the integrated app and ran the tracker and gallery-updater regression suites with one Gradle worker	verified all three independent-review fixes without repeating the full already-passing parity suite	gradlew --no-daemon --no-parallel --max-workers=1 :app:compileDevDebugKotlin :app:testDevDebugUnitTest --tests novel.tracker.* --tests adult.eh.update.* -x :app:formatKotlin	verified-31-tests
2026-08-21T23:47:00Z	apk	assembled and signature-verified a universal dev-debug APK after unifying the QuickJS native runtime	the first packaging attempt exposed two incompatible libquickjs.so inputs; the corrected build contains one runtime and passed APK Signature Scheme v2 verification	app/build/outputs/apk/dev/debug/app-dev-universal-debug.apk; commit b6197a941d	verified
