ts	phase	decision	why	evidence	result
2026-09-03T18:42:00+03:00	frame	treated issues 30 38 39 46 and 47 as production slices	all five requests fit Hayai and each has observable behavior to verify	https://github.com/HayaiApp/hayai/issues?q=is%3Aissue%20state%3Aopen	five aligned issues
2026-09-03T19:04:00+03:00	upstream	replayed the Hayai patch stack onto J2K e848fcebef	reader fixes must be built against the current architectural parent	git merge-base HEAD j2k/master	VERIFIED
2026-09-03T19:04:00+03:00	upstream	kept J2K's new cache-first then network cover notification path during the replay	it already provides the same fallback the older Hayai commit added	app/src/main/java/eu/kanade/tachiyomi/data/library/LibraryUpdateNotifier.kt	VERIFIED
2026-09-03T19:10:00+03:00	prototype	measured chapter fragments on a root-scrolled multicolumn document	proved two chapters produce eleven viewport pages and independently measurable chapter fragments before production wiring	.audit/paged-layout-prototype.html; Chromium headless viewport 500 scrollWidth 5484 block fragments 7 and 4	VERIFIED
2026-09-03T19:35:00+03:00	reader	connected continuous adjacent loading and paged chapter geometry to the existing J2K reader model	fixes issue 38 without a second chapter or progress authority	NovelReaderViewer.kt; NovelHtmlDocumentBuilder.kt; WebNovelRenderer.kt	UNIT_VERIFIED
2026-09-03T19:35:00+03:00	language	made translated paragraphs and target language the displayed-document contract	fixes issue 47 so TTS cannot start from stale original paragraphs or an unrelated default locale	NovelTranslationPresentation.kt; NovelReaderAttachment.kt; NovelTtsPlaybackService.kt	UNIT_VERIFIED
2026-09-03T19:35:00+03:00	sources	added named query plus nested-filter presets backed by normal application preferences	fixes issue 39 and includes presets in J2K preference backups while rejecting incompatible extension schema state	SavedSourceSearchStore.kt; BrowseSourceController.kt	UNIT_VERIFIED
2026-09-03T19:35:00+03:00	presentation	added one-to-five line novel titles and completed vertical Japanese typography rules	addresses issues 46 and 30 at existing Library and reader surfaces	NovelTitlePresentation.kt; LibraryGridHolder.kt; LibraryListHolder.kt; NovelHtmlDocumentBuilder.kt	UNIT_VERIFIED
2026-09-03T19:44:00+03:00	validation	passed localization boundary full DevDebug compile and unit tests APK assembly and process startup	covers every static and JVM acceptance point in the five issue batch	verify-localization.ps1; verify-upstream-boundary.ps1; gradlew compileDevDebugKotlin testDevDebugUnitTest; gradlew assembleDevDebug; verify-apk-startup.ps1	VERIFIED
2026-09-03T19:44:01+03:00	device-validation	exercised legacy migration novel reader settings TTS controls offline save and process restart on the emulator	the application remained alive and resumed MainActivity after the harness UI dump returned a null root	artifacts/emulator-verification/20260903-163423	PARTIAL_HARNESS_FAILURE
